0,0,0,0
0,0,0,0
1,0,0,0
1,1,0,0
1,1,0,0
1,1,0,0
2,1,0,0
2,1,1,0
3,1,1,0
4,2,1,0
5,2,1,0
7,2,2,0
10,3,2,0
13,3,3,1
17,4,4,1
22,5,6,1
30,6,7,1
40,7,10,1
53,9,13,1
70,11,17,2
93,13,23,2
123,15,31,3
164,19,41,3
218,22,54,4
289,27,71,5
383,32,94,5
508,39,125,7
673,47,165,8
890,56,217,9
1175,68,285,11
1548,81,373,14
2033,97,485,16
2659,117,627,19
3462,139,802,23
4478,166,1016,27
5747,198,1269,32
7302,235,1556,37
9169,278,1867,43
11351,328,2182,50
13826,386,2475,57
16537,451,2711,65
19397,524,2860,73
22298,606,2900,82
25122,696,2825,90
27768,793,2645,98
30156,898,2388,104
32241,1007,2085,110
34010,1121,1769,113
35473,1236,1463,115
36659,1351,1186,115
37605,1464,946,113
38349,1573,744,109
38928,1676,579,103
39375,1773,447,97
39718,1862,343,89
39980,1942,262,81
40179,2015,199,72
40330,2079,151,64
40445,2135,114,56
40531,2184,86,49
40597,2226,65,42
40646,2263,49,36
40683,2294,37,31
40711,2320,28,26
40732,2342,21,22
40748,2361,16,19
40760,2377,12,16
40769,2390,9,13
40775,2401,7,11
40781,2410,5,9
40784,2418,4,8
