# Cauchy kernel fit
# initial parameters: I=3.00e-03, sigma=5.00e+00, center=1.00e+01
# final parameters  : I=3.05e-04, sigma=3.06e-03, center=-1.04e+02
# RMSE(death vs kernel*case) = 4.00e+01
# time-pt , kernel  , kfitted , deaths  , dfitted 
0.00e+00, 1.23e-03, 1.18e-03, 0.00e+00, 2.71e+00
1.00e+00, 1.51e-03, 1.40e-03, 0.00e+00, 2.82e+00
2.00e+00, 1.82e-03, 1.65e-03, 0.00e+00, 2.95e+00
3.00e+00, 2.16e-03, 1.95e-03, 0.00e+00, 3.08e+00
4.00e+00, 2.47e-03, 2.29e-03, 0.00e+00, 3.22e+00
5.00e+00, 2.73e-03, 2.65e-03, 0.00e+00, 3.37e+00
6.00e+00, 2.91e-03, 2.97e-03, 0.00e+00, 3.53e+00
7.00e+00, 3.01e-03, 3.18e-03, 0.00e+00, 3.70e+00
8.00e+00, 3.03e-03, 3.23e-03, 0.00e+00, 3.89e+00
9.00e+00, 2.97e-03, 3.11e-03, 0.00e+00, 4.09e+00
1.00e+01, 2.83e-03, 2.84e-03, 1.00e+00, 4.31e+00
1.10e+01, 2.62e-03, 2.50e-03, 1.00e+00, 4.55e+00
1.20e+01, 2.36e-03, 2.15e-03, 1.00e+00, 4.81e+00
1.30e+01, 2.05e-03, 1.82e-03, 1.00e+00, 5.09e+00
1.40e+01, 1.71e-03, 1.54e-03, 1.00e+00, 5.40e+00
1.50e+01, 1.39e-03, 1.30e-03, 1.00e+00, 5.74e+00
1.60e+01, 1.11e-03, 1.10e-03, 1.00e+00, 6.11e+00
1.70e+01, 8.90e-04, 9.44e-04, 2.00e+00, 6.52e+00
1.80e+01, 7.36e-04, 8.13e-04, 2.00e+00, 6.98e+00
1.90e+01, 6.39e-04, 7.04e-04, 2.00e+00, 7.48e+00
2.00e+01, 5.78e-04, 6.15e-04, 3.00e+00, 8.04e+00
2.10e+01, 5.30e-04, 5.40e-04, 3.00e+00, 8.67e+00
