# 5-gaussian kernel fit
# initial parameters: I=3.00e-04/3.00e-03/3.00e-04/1.00e-04/1.00e-04, sigma=5.00e+00/5.00e+00/5.00e+00/5.00e+00/5.00e+00, center=0.00e+00/5.00e+00/2.00e+01/2.00e+01/2.00e+01
# final parameters  : I=3.05e-04/3.06e-03/3.44e-04/7.15e-05/1.11e-04, sigma=4.30e+00/5.67e+00/3.02e+00/3.81e+00/1.49e+00, center=-6.84e+00/7.84e+00/2.23e+01/3.33e+01/-2.12e+01
# RMSE(death vs kernel*case) = 3.01e+00
# time-pt , kernel  , kfitted , deaths  , dfitted 
0.00e+00, 1.23e-03, 1.26e-03, 0.00e+00, 2.21e-02
1.00e+00, 1.51e-03, 1.53e-03, 0.00e+00, 2.94e-02
2.00e+00, 1.82e-03, 1.83e-03, 0.00e+00, 3.90e-02
3.00e+00, 2.16e-03, 2.14e-03, 0.00e+00, 5.17e-02
4.00e+00, 2.47e-03, 2.44e-03, 0.00e+00, 6.84e-02
5.00e+00, 2.73e-03, 2.70e-03, 0.00e+00, 9.04e-02
6.00e+00, 2.91e-03, 2.90e-03, 0.00e+00, 1.19e-01
7.00e+00, 3.01e-03, 3.02e-03, 0.00e+00, 1.57e-01
8.00e+00, 3.03e-03, 3.06e-03, 0.00e+00, 2.06e-01
9.00e+00, 2.97e-03, 2.99e-03, 0.00e+00, 2.70e-01
1.00e+01, 2.83e-03, 2.84e-03, 1.00e+00, 3.52e-01
1.10e+01, 2.62e-03, 2.62e-03, 1.00e+00, 4.56e-01
1.20e+01, 2.36e-03, 2.34e-03, 1.00e+00, 5.88e-01
1.30e+01, 2.05e-03, 2.02e-03, 1.00e+00, 7.52e-01
1.40e+01, 1.71e-03, 1.70e-03, 1.00e+00, 9.53e-01
1.50e+01, 1.39e-03, 1.40e-03, 1.00e+00, 1.19e+00
1.60e+01, 1.11e-03, 1.13e-03, 1.00e+00, 1.48e+00
1.70e+01, 8.90e-04, 9.04e-04, 2.00e+00, 1.81e+00
1.80e+01, 7.36e-04, 7.41e-04, 2.00e+00, 2.19e+00
1.90e+01, 6.39e-04, 6.33e-04, 2.00e+00, 2.61e+00
2.00e+01, 5.78e-04, 5.67e-04, 3.00e+00, 3.07e+00
2.10e+01, 5.30e-04, 5.22e-04, 3.00e+00, 3.58e+00
2.20e+01, 4.76e-04, 4.79e-04, 4.00e+00, 4.14e+00
2.30e+01, 4.13e-04, 4.21e-04, 5.00e+00, 4.78e+00
2.40e+01, 3.39e-04, 3.47e-04, 5.00e+00, 5.53e+00
2.50e+01, 2.64e-04, 2.65e-04, 6.00e+00, 6.42e+00
2.60e+01, 1.93e-04, 1.89e-04, 7.00e+00, 7.48e+00
2.70e+01, 1.35e-04, 1.28e-04, 9.00e+00, 8.76e+00
2.80e+01, 9.48e-05, 8.91e-05, 1.00e+01, 1.03e+01
2.90e+01, 7.19e-05, 6.94e-05, 1.20e+01, 1.21e+01
3.00e+01, 6.36e-05, 6.38e-05, 1.40e+01, 1.43e+01
3.10e+01, 6.24e-05, 6.58e-05, 1.70e+01, 1.68e+01
3.20e+01, 6.52e-05, 6.99e-05, 2.00e+01, 1.97e+01
3.30e+01, 6.61e-05, 7.21e-05, 2.30e+01, 2.30e+01
3.40e+01, 6.70e-05, 7.04e-05, 2.60e+01, 2.67e+01
3.50e+01, 6.52e-05, 6.45e-05, 3.10e+01, 3.10e+01
3.60e+01, 6.12e-05, 5.52e-05, 3.60e+01, 3.57e+01
3.70e+01, 5.55e-05, 4.42e-05, 4.10e+01, 4.10e+01
3.80e+01, 4.42e-05, 3.30e-05, 4.70e+01, 4.69e+01
3.90e+01, 2.70e-05, 2.30e-05, 5.30e+01, 5.34e+01
4.00e+01, 4.47e-06, 1.50e-05, 6.10e+01, 6.05e+01
4.10e+01, -1.62e-05, 9.10e-06, 6.80e+01, 6.80e+01
4.20e+01, -2.45e-05, 5.16e-06, 7.60e+01, 7.60e+01
4.30e+01, -1.75e-05, 2.73e-06, 8.40e+01, 8.42e+01
4.40e+01, 7.97e-06, 1.35e-06, 9.20e+01, 9.23e+01
4.50e+01, 3.94e-05, 6.24e-07, 1.00e+02, 1.00e+02
4.60e+01, 6.29e-05, 2.69e-07, 1.08e+02, 1.08e+02
4.70e+01, 6.77e-05, 1.08e-07, 1.14e+02, 1.14e+02
4.80e+01, 4.61e-05, 4.06e-08, 1.20e+02, 1.19e+02
4.90e+01, 7.54e-06, 1.42e-08, 1.23e+02, 1.23e+02
5.00e+01, -3.17e-05, 4.66e-09, 1.26e+02, 1.26e+02
5.10e+01, -5.83e-05, 1.42e-09, 1.26e+02, 1.26e+02
5.20e+01, -6.28e-05, 4.06e-10, 1.25e+02, 1.25e+02
5.30e+01, -4.65e-05, 1.08e-10, 1.22e+02, 1.22e+02
5.40e+01, -1.85e-05, 2.69e-11, 1.18e+02, 1.18e+02
5.50e+01, 9.22e-06, 6.23e-12, 1.12e+02, 1.12e+02
5.60e+01, 2.84e-05, 1.35e-12, 1.05e+02, 1.05e+02
5.70e+01, 3.31e-05, 2.73e-13, 9.80e+01, 9.74e+01
5.80e+01, 2.72e-05, 5.15e-14, 8.90e+01, 8.94e+01
5.90e+01, 1.40e-05, 9.08e-15, 8.10e+01, 8.12e+01
6.00e+01, -1.09e-06, 1.49e-15, 7.30e+01, 7.31e+01
6.10e+01, -1.06e-05, 2.29e-16, 6.50e+01, 6.52e+01
6.20e+01, -1.51e-05, 3.29e-17, 5.80e+01, 5.78e+01
6.30e+01, -1.30e-05, 4.40e-18, 5.10e+01, 5.10e+01
6.40e+01, -7.89e-06, 5.50e-19, 4.50e+01, 4.47e+01
6.50e+01, -1.48e-06, 6.42e-20, 3.90e+01, 3.90e+01
6.60e+01, 3.75e-06, 6.99e-21, 3.40e+01, 3.39e+01
6.70e+01, 6.59e-06, 7.11e-22, 2.90e+01, 2.93e+01
6.80e+01, 6.19e-06, 6.74e-23, 2.50e+01, 2.52e+01
6.90e+01, 3.67e-06, 5.97e-24, 2.20e+01, 2.15e+01
7.00e+01, 1.29e-06, 4.94e-25, 1.80e+01, 1.84e+01
7.10e+01, -1.50e-06, 3.82e-26, 1.60e+01, 1.56e+01
7.20e+01, -1.95e-06, 2.75e-27, 1.30e+01, 1.33e+01
7.30e+01, -2.75e-06, 1.85e-28, 1.10e+01, 1.12e+01
7.40e+01, -1.81e-06, 1.16e-29, 1.00e+01, 9.55e+00
7.50e+01, -8.07e-07, 6.83e-31, 8.00e+00, 8.12e+00
7.60e+01, 1.25e-07, 3.74e-32, 7.00e+00, 6.91e+00
7.70e+01, 6.52e-07, 1.92e-33, 6.00e+00, 5.90e+00
7.80e+01, 1.40e-06, 9.26e-35, 5.00e+00, 5.03e+00
7.90e+01, 9.96e-07, 4.23e-36, 4.00e+00, 4.29e+00
8.00e+01, 5.99e-08, 1.88e-37, 4.00e+00, 3.65e+00
8.10e+01, 1.32e-07, 8.58e-39, 3.00e+00, 3.08e+00
8.20e+01, -3.68e-07, 4.43e-40, 3.00e+00, 2.59e+00
8.30e+01, -1.68e-07, 2.82e-41, 2.00e+00, 2.16e+00
8.40e+01, -1.39e-07, 2.17e-42, 2.00e+00, 1.79e+00
8.50e+01, -2.54e-07, 1.84e-43, 2.00e+00, 1.46e+00
8.60e+01, -5.42e-07, 1.59e-44, 1.00e+00, 1.19e+00
8.70e+01, -4.17e-08, 1.36e-45, 1.00e+00, 9.54e-01
8.80e+01, 2.35e-07, 1.14e-46, 1.00e+00, 7.61e-01
8.90e+01, 3.13e-07, 9.24e-48, 1.00e+00, 6.01e-01
9.00e+01, 2.49e-07, 7.28e-49, 1.00e+00, 4.71e-01
9.10e+01, 1.15e-07, 5.55e-50, 1.00e+00, 3.67e-01
9.20e+01, -2.00e-08, 4.11e-51, 0.00e+00, 2.84e-01
9.30e+01, -1.11e-07, 2.94e-52, 0.00e+00, 2.19e-01
9.40e+01, -1.40e-07, 2.05e-53, 0.00e+00, 1.67e-01
9.50e+01, -1.14e-07, 1.38e-54, 0.00e+00, 1.28e-01
9.60e+01, -5.69e-08, 9.01e-56, 0.00e+00, 9.72e-02
9.70e+01, 4.39e-09, 5.70e-57, 0.00e+00, 7.37e-02
9.80e+01, 4.84e-08, 3.50e-58, 0.00e+00, 5.58e-02
9.90e+01, 6.51e-08, 2.08e-59, 0.00e+00, 4.22e-02
1.00e+02, 5.64e-08, 1.20e-60, 0.00e+00, 3.19e-02
