# 4-gaussian kernel fit
# initial parameters: I=3.00e-04/3.00e-03/3.00e-04/1.00e-04, sigma=5.00e+00/5.00e+00/5.00e+00/5.00e+00, center=0.00e+00/5.00e+00/2.00e+01/2.00e+01
# final parameters  : I=2.28e-04/2.90e-03/2.59e-04/1.62e-04, sigma=3.71e+00/5.53e+00/2.53e+00/1.62e+01, center=-6.53e+00/7.81e+00/2.21e+01/9.06e+00
# RMSE(death vs kernel*case) = 3.12e+00
# time-pt , kernel  , kfitted , deaths  , dfitted 
0.00e+00, 1.23e-03, 1.25e-03, 0.00e+00, 1.11e-01
1.00e+00, 1.51e-03, 1.53e-03, 0.00e+00, 1.31e-01
2.00e+00, 1.82e-03, 1.83e-03, 0.00e+00, 1.55e-01
3.00e+00, 2.16e-03, 2.14e-03, 0.00e+00, 1.83e-01
4.00e+00, 2.47e-03, 2.44e-03, 0.00e+00, 2.15e-01
5.00e+00, 2.73e-03, 2.70e-03, 0.00e+00, 2.52e-01
6.00e+00, 2.91e-03, 2.91e-03, 0.00e+00, 2.96e-01
7.00e+00, 3.01e-03, 3.03e-03, 0.00e+00, 3.47e-01
8.00e+00, 3.03e-03, 3.06e-03, 0.00e+00, 4.05e-01
9.00e+00, 2.97e-03, 2.99e-03, 0.00e+00, 4.73e-01
1.00e+01, 2.83e-03, 2.84e-03, 1.00e+00, 5.52e-01
1.10e+01, 2.62e-03, 2.61e-03, 1.00e+00, 6.43e-01
1.20e+01, 2.36e-03, 2.33e-03, 1.00e+00, 7.49e-01
1.30e+01, 2.05e-03, 2.02e-03, 1.00e+00, 8.72e-01
1.40e+01, 1.71e-03, 1.70e-03, 1.00e+00, 1.02e+00
1.50e+01, 1.39e-03, 1.40e-03, 1.00e+00, 1.18e+00
1.60e+01, 1.11e-03, 1.13e-03, 1.00e+00, 1.38e+00
1.70e+01, 8.90e-04, 9.05e-04, 2.00e+00, 1.61e+00
1.80e+01, 7.36e-04, 7.39e-04, 2.00e+00, 1.89e+00
1.90e+01, 6.39e-04, 6.30e-04, 2.00e+00, 2.22e+00
2.00e+01, 5.78e-04, 5.68e-04, 3.00e+00, 2.61e+00
2.10e+01, 5.30e-04, 5.27e-04, 3.00e+00, 3.07e+00
2.20e+01, 4.76e-04, 4.84e-04, 4.00e+00, 3.63e+00
2.30e+01, 4.13e-04, 4.21e-04, 5.00e+00, 4.31e+00
2.40e+01, 3.39e-04, 3.40e-04, 5.00e+00, 5.11e+00
2.50e+01, 2.64e-04, 2.56e-04, 6.00e+00, 6.08e+00
2.60e+01, 1.93e-04, 1.85e-04, 7.00e+00, 7.23e+00
2.70e+01, 1.35e-04, 1.34e-04, 9.00e+00, 8.59e+00
2.80e+01, 9.48e-05, 1.02e-04, 1.00e+01, 1.02e+01
2.90e+01, 7.19e-05, 8.40e-05, 1.20e+01, 1.21e+01
3.00e+01, 6.36e-05, 7.31e-05, 1.40e+01, 1.43e+01
3.10e+01, 6.24e-05, 6.57e-05, 1.70e+01, 1.68e+01
3.20e+01, 6.52e-05, 5.98e-05, 2.00e+01, 1.97e+01
3.30e+01, 6.61e-05, 5.45e-05, 2.30e+01, 2.30e+01
3.40e+01, 6.70e-05, 4.96e-05, 2.60e+01, 2.67e+01
3.50e+01, 6.52e-05, 4.50e-05, 3.10e+01, 3.10e+01
3.60e+01, 6.12e-05, 4.07e-05, 3.60e+01, 3.57e+01
3.70e+01, 5.55e-05, 3.67e-05, 4.10e+01, 4.10e+01
3.80e+01, 4.42e-05, 3.29e-05, 4.70e+01, 4.69e+01
3.90e+01, 2.70e-05, 2.94e-05, 5.30e+01, 5.34e+01
4.00e+01, 4.47e-06, 2.62e-05, 6.10e+01, 6.05e+01
4.10e+01, -1.62e-05, 2.33e-05, 6.80e+01, 6.81e+01
4.20e+01, -2.45e-05, 2.06e-05, 7.60e+01, 7.60e+01
4.30e+01, -1.75e-05, 1.81e-05, 8.40e+01, 8.42e+01
4.40e+01, 7.97e-06, 1.59e-05, 9.20e+01, 9.23e+01
4.50e+01, 3.94e-05, 1.39e-05, 1.00e+02, 1.00e+02
4.60e+01, 6.29e-05, 1.21e-05, 1.08e+02, 1.08e+02
4.70e+01, 6.77e-05, 1.05e-05, 1.14e+02, 1.14e+02
4.80e+01, 4.61e-05, 9.06e-06, 1.20e+02, 1.19e+02
4.90e+01, 7.54e-06, 7.80e-06, 1.23e+02, 1.23e+02
5.00e+01, -3.17e-05, 6.69e-06, 1.26e+02, 1.26e+02
