# Single gaussian kernel fit
# initial parameters: I=3.00e-03, sigma=5.00e+00, center=1.00e+01
# final parameters  : I=2.93e-03, sigma=6.39e+00, center=7.79e+00
# RMSE(death vs kernel*case) = 2.85e+01
# time-pt , kernel  , kfitted , deaths  , dfitted 
0.00e+00, 1.23e-03, 1.40e-03, 0.00e+00, 1.22e-03
1.00e+00, 1.51e-03, 1.67e-03, 0.00e+00, 1.84e-03
2.00e+00, 1.82e-03, 1.95e-03, 0.00e+00, 2.74e-03
3.00e+00, 2.16e-03, 2.22e-03, 0.00e+00, 4.01e-03
4.00e+00, 2.47e-03, 2.46e-03, 0.00e+00, 5.80e-03
5.00e+00, 2.73e-03, 2.67e-03, 0.00e+00, 8.26e-03
6.00e+00, 2.91e-03, 2.82e-03, 0.00e+00, 1.16e-02
7.00e+00, 3.01e-03, 2.91e-03, 0.00e+00, 1.62e-02
8.00e+00, 3.03e-03, 2.93e-03, 0.00e+00, 2.23e-02
9.00e+00, 2.97e-03, 2.88e-03, 0.00e+00, 3.05e-02
1.00e+01, 2.83e-03, 2.76e-03, 1.00e+00, 4.13e-02
1.10e+01, 2.62e-03, 2.58e-03, 1.00e+00, 5.57e-02
1.20e+01, 2.36e-03, 2.36e-03, 1.00e+00, 7.47e-02
1.30e+01, 2.05e-03, 2.10e-03, 1.00e+00, 9.96e-02
1.40e+01, 1.71e-03, 1.83e-03, 1.00e+00, 1.32e-01
1.50e+01, 1.39e-03, 1.55e-03, 1.00e+00, 1.76e-01
1.60e+01, 1.11e-03, 1.28e-03, 1.00e+00, 2.32e-01
1.70e+01, 8.90e-04, 1.04e-03, 2.00e+00, 3.06e-01
1.80e+01, 7.36e-04, 8.18e-04, 2.00e+00, 4.03e-01
1.90e+01, 6.39e-04, 6.29e-04, 2.00e+00, 5.30e-01
2.00e+01, 5.78e-04, 4.73e-04, 3.00e+00, 6.95e-01
2.10e+01, 5.30e-04, 3.46e-04, 3.00e+00, 9.10e-01
2.20e+01, 4.76e-04, 2.47e-04, 4.00e+00, 1.19e+00
2.30e+01, 4.13e-04, 1.73e-04, 5.00e+00, 1.55e+00
2.40e+01, 3.39e-04, 1.18e-04, 5.00e+00, 2.01e+00
2.50e+01, 2.64e-04, 7.81e-05, 6.00e+00, 2.60e+00
2.60e+01, 1.93e-04, 5.06e-05, 7.00e+00, 3.36e+00
2.70e+01, 1.35e-04, 3.20e-05, 9.00e+00, 4.31e+00
2.80e+01, 9.48e-05, 1.98e-05, 1.00e+01, 5.51e+00
2.90e+01, 7.19e-05, 1.19e-05, 1.20e+01, 7.00e+00
3.00e+01, 6.36e-05, 7.00e-06, 1.40e+01, 8.85e+00
3.10e+01, 6.24e-05, 4.01e-06, 1.70e+01, 1.11e+01
3.20e+01, 6.52e-05, 2.25e-06, 2.00e+01, 1.38e+01
3.30e+01, 6.61e-05, 1.23e-06, 2.30e+01, 1.71e+01
3.40e+01, 6.70e-05, 6.54e-07, 2.60e+01, 2.10e+01
3.50e+01, 6.52e-05, 3.40e-07, 3.10e+01, 2.55e+01
3.60e+01, 6.12e-05, 1.73e-07, 3.60e+01, 3.07e+01
3.70e+01, 5.55e-05, 8.55e-08, 4.10e+01, 3.67e+01
3.80e+01, 4.42e-05, 4.13e-08, 4.70e+01, 4.33e+01
3.90e+01, 2.70e-05, 1.95e-08, 5.30e+01, 5.06e+01
4.00e+01, 4.47e-06, 8.96e-09, 6.10e+01, 5.84e+01
4.10e+01, -1.62e-05, 4.02e-09, 6.80e+01, 6.67e+01
4.20e+01, -2.45e-05, 1.76e-09, 7.60e+01, 7.52e+01
4.30e+01, -1.75e-05, 7.54e-10, 8.40e+01, 8.38e+01
4.40e+01, 7.97e-06, 3.15e-10, 9.20e+01, 9.23e+01
4.50e+01, 3.94e-05, 1.28e-10, 1.00e+02, 1.00e+02
4.60e+01, 6.29e-05, 5.09e-11, 1.08e+02, 1.08e+02
4.70e+01, 6.77e-05, 1.97e-11, 1.14e+02, 1.14e+02
4.80e+01, 4.61e-05, 7.47e-12, 1.20e+02, 1.19e+02
4.90e+01, 7.54e-06, 2.76e-12, 1.23e+02, 1.23e+02
5.00e+01, -3.17e-05, 9.93e-13, 1.26e+02, 1.25e+02
5.10e+01, -5.83e-05, 3.49e-13, 1.26e+02, 1.26e+02
5.20e+01, -6.28e-05, 1.20e-13, 1.25e+02, 1.25e+02
