# Double gaussian kernel fit
# initial parameters: I=3.00e-03/3.00e-04, sigma=5.00e+00/5.00e+00, center=5.00e+00/2.00e+01
# final parameters  : I=2.98e-03/2.89e-04, sigma=6.13e+00/2.75e+00, center=7.68e+00/2.31e+01
# RMSE(death vs kernel*case) = 2.50e+01
# time-pt , kernel  , kfitted , deaths  , dfitted 
0.00e+00, 1.23e-03, 1.36e-03, 0.00e+00, 9.48e-04
1.00e+00, 1.51e-03, 1.65e-03, 0.00e+00, 1.46e-03
2.00e+00, 1.82e-03, 1.94e-03, 0.00e+00, 2.22e-03
3.00e+00, 2.16e-03, 2.23e-03, 0.00e+00, 3.30e-03
4.00e+00, 2.47e-03, 2.49e-03, 0.00e+00, 4.84e-03
5.00e+00, 2.73e-03, 2.71e-03, 0.00e+00, 6.98e-03
6.00e+00, 2.91e-03, 2.87e-03, 0.00e+00, 9.93e-03
7.00e+00, 3.01e-03, 2.96e-03, 0.00e+00, 1.40e-02
8.00e+00, 3.03e-03, 2.98e-03, 0.00e+00, 1.94e-02
9.00e+00, 2.97e-03, 2.91e-03, 0.00e+00, 2.66e-02
1.00e+01, 2.83e-03, 2.77e-03, 1.00e+00, 3.63e-02
1.10e+01, 2.62e-03, 2.57e-03, 1.00e+00, 4.91e-02
1.20e+01, 2.36e-03, 2.33e-03, 1.00e+00, 6.60e-02
1.30e+01, 2.05e-03, 2.05e-03, 1.00e+00, 8.82e-02
1.40e+01, 1.71e-03, 1.75e-03, 1.00e+00, 1.17e-01
1.50e+01, 1.39e-03, 1.47e-03, 1.00e+00, 1.56e-01
1.60e+01, 1.11e-03, 1.20e-03, 1.00e+00, 2.06e-01
1.70e+01, 8.90e-04, 9.64e-04, 2.00e+00, 2.73e-01
1.80e+01, 7.36e-04, 7.75e-04, 2.00e+00, 3.59e-01
1.90e+01, 6.39e-04, 6.37e-04, 2.00e+00, 4.73e-01
2.00e+01, 5.78e-04, 5.48e-04, 3.00e+00, 6.22e-01
2.10e+01, 5.30e-04, 4.97e-04, 3.00e+00, 8.15e-01
2.20e+01, 4.76e-04, 4.62e-04, 4.00e+00, 1.07e+00
2.30e+01, 4.13e-04, 4.21e-04, 5.00e+00, 1.39e+00
2.40e+01, 3.39e-04, 3.62e-04, 5.00e+00, 1.82e+00
2.50e+01, 2.64e-04, 2.85e-04, 6.00e+00, 2.36e+00
2.60e+01, 1.93e-04, 2.02e-04, 7.00e+00, 3.05e+00
2.70e+01, 1.35e-04, 1.28e-04, 9.00e+00, 3.93e+00
2.80e+01, 9.48e-05, 7.26e-05, 1.00e+01, 5.05e+00
2.90e+01, 7.19e-05, 3.67e-05, 1.20e+01, 6.45e+00
3.00e+01, 6.36e-05, 1.67e-05, 1.40e+01, 8.19e+00
3.10e+01, 6.24e-05, 6.97e-06, 1.70e+01, 1.03e+01
3.20e+01, 6.52e-05, 2.74e-06, 2.00e+01, 1.29e+01
3.30e+01, 6.61e-05, 1.05e-06, 2.30e+01, 1.61e+01
3.40e+01, 6.70e-05, 4.16e-07, 2.60e+01, 1.99e+01
3.50e+01, 6.52e-05, 1.73e-07, 3.10e+01, 2.43e+01
3.60e+01, 6.12e-05, 7.53e-08, 3.60e+01, 2.94e+01
3.70e+01, 5.55e-05, 3.35e-08, 4.10e+01, 3.53e+01
3.80e+01, 4.42e-05, 1.49e-08, 4.70e+01, 4.19e+01
3.90e+01, 2.70e-05, 6.54e-09, 5.30e+01, 4.92e+01
4.00e+01, 4.47e-06, 2.80e-09, 6.10e+01, 5.71e+01
4.10e+01, -1.62e-05, 1.17e-09, 6.80e+01, 6.55e+01
4.20e+01, -2.45e-05, 4.77e-10, 7.60e+01, 7.42e+01
4.30e+01, -1.75e-05, 1.89e-10, 8.40e+01, 8.30e+01
4.40e+01, 7.97e-06, 7.30e-11, 9.20e+01, 9.16e+01
4.50e+01, 3.94e-05, 2.75e-11, 1.00e+02, 9.99e+01
4.60e+01, 6.29e-05, 1.01e-11, 1.08e+02, 1.07e+02
4.70e+01, 6.77e-05, 3.58e-12, 1.14e+02, 1.14e+02
4.80e+01, 4.61e-05, 1.24e-12, 1.20e+02, 1.19e+02
4.90e+01, 7.54e-06, 4.21e-13, 1.23e+02, 1.23e+02
5.00e+01, -3.17e-05, 1.38e-13, 1.26e+02, 1.25e+02
5.10e+01, -5.83e-05, 4.44e-14, 1.26e+02, 1.26e+02
5.20e+01, -6.28e-05, 1.39e-14, 1.25e+02, 1.25e+02
5.30e+01, -4.65e-05, 4.21e-15, 1.22e+02, 1.22e+02
5.40e+01, -1.85e-05, 1.25e-15, 1.18e+02, 1.18e+02
5.50e+01, 9.22e-06, 3.59e-16, 1.12e+02, 1.12e+02
5.60e+01, 2.84e-05, 1.01e-16, 1.05e+02, 1.05e+02
5.70e+01, 3.31e-05, 2.76e-17, 9.80e+01, 9.77e+01
5.80e+01, 2.72e-05, 7.33e-18, 8.90e+01, 8.98e+01
5.90e+01, 1.40e-05, 1.90e-18, 8.10e+01, 8.17e+01
6.00e+01, -1.09e-06, 4.80e-19, 7.30e+01, 7.36e+01
6.10e+01, -1.06e-05, 1.18e-19, 6.50e+01, 6.57e+01
6.20e+01, -1.51e-05, 2.82e-20, 5.80e+01, 5.83e+01
6.30e+01, -1.30e-05, 6.57e-21, 5.10e+01, 5.13e+01
6.40e+01, -7.89e-06, 1.49e-21, 4.50e+01, 4.49e+01
6.50e+01, -1.48e-06, 3.30e-22, 3.90e+01, 3.90e+01
6.60e+01, 3.75e-06, 7.09e-23, 3.40e+01, 3.37e+01
6.70e+01, 6.59e-06, 1.49e-23, 2.90e+01, 2.89e+01
6.80e+01, 6.19e-06, 3.03e-24, 2.50e+01, 2.46e+01
6.90e+01, 3.67e-06, 6.03e-25, 2.20e+01, 2.08e+01
7.00e+01, 1.29e-06, 1.17e-25, 1.80e+01, 1.74e+01
7.10e+01, -1.50e-06, 2.20e-26, 1.60e+01, 1.44e+01
7.20e+01, -1.95e-06, 4.03e-27, 1.30e+01, 1.18e+01
7.30e+01, -2.75e-06, 7.20e-28, 1.10e+01, 9.58e+00
7.40e+01, -1.81e-06, 1.25e-28, 1.00e+01, 7.70e+00
7.50e+01, -8.07e-07, 2.12e-29, 8.00e+00, 6.14e+00
7.60e+01, 1.25e-07, 3.50e-30, 7.00e+00, 4.85e+00
7.70e+01, 6.52e-07, 5.63e-31, 6.00e+00, 3.80e+00
