# Cauchy kernel fit
# initial parameters: I=3.00e-03, sigma=5.00e+00, center=1.00e+01
# final parameters  : I=3.40e-03, sigma=5.19e+00, center=7.19e+00
# RMSE(death vs kernel*case) = 3.97e+01
# time-pt , kernel  , kfitted , deaths  , dfitted 
0.00e+00, 1.24e-03, 1.16e-03, 0.00e+00, 1.01e+00
1.00e+00, 1.57e-03, 1.40e-03, 0.00e+00, 1.03e+00
2.00e+00, 1.93e-03, 1.70e-03, 0.00e+00, 1.06e+00
3.00e+00, 2.29e-03, 2.06e-03, 0.00e+00, 1.09e+00
4.00e+00, 2.63e-03, 2.47e-03, 0.00e+00, 1.12e+00
5.00e+00, 2.91e-03, 2.88e-03, 0.00e+00, 1.15e+00
6.00e+00, 3.10e-03, 3.23e-03, 0.00e+00, 1.19e+00
7.00e+00, 3.18e-03, 3.40e-03, 0.00e+00, 1.22e+00
8.00e+00, 3.15e-03, 3.32e-03, 0.00e+00, 1.26e+00
9.00e+00, 3.00e-03, 3.03e-03, 0.00e+00, 1.30e+00
1.00e+01, 2.75e-03, 2.63e-03, 0.00e+00, 1.34e+00
1.10e+01, 2.43e-03, 2.21e-03, 0.00e+00, 1.38e+00
1.20e+01, 2.07e-03, 1.83e-03, 0.00e+00, 1.42e+00
1.30e+01, 1.70e-03, 1.51e-03, 0.00e+00, 1.47e+00
1.40e+01, 1.36e-03, 1.25e-03, 0.00e+00, 1.52e+00
1.50e+01, 1.05e-03, 1.04e-03, 0.00e+00, 1.57e+00
1.60e+01, 8.05e-04, 8.77e-04, 0.00e+00, 1.62e+00
1.70e+01, 6.20e-04, 7.44e-04, 0.00e+00, 1.68e+00
1.80e+01, 4.91e-04, 6.38e-04, 0.00e+00, 1.74e+00
1.90e+01, 4.08e-04, 5.51e-04, 0.00e+00, 1.80e+00
2.00e+01, 3.61e-04, 4.80e-04, 0.00e+00, 1.87e+00
2.10e+01, 3.32e-04, 4.21e-04, 0.00e+00, 1.94e+00
2.20e+01, 3.06e-04, 3.72e-04, 0.00e+00, 2.01e+00
2.30e+01, 2.76e-04, 3.31e-04, 0.00e+00, 2.09e+00
2.40e+01, 2.40e-04, 2.96e-04, 0.00e+00, 2.17e+00
2.50e+01, 1.99e-04, 2.66e-04, 0.00e+00, 2.26e+00
2.60e+01, 1.54e-04, 2.41e-04, 0.00e+00, 2.36e+00
2.70e+01, 1.16e-04, 2.19e-04, 0.00e+00, 2.46e+00
2.80e+01, 8.56e-05, 1.99e-04, 0.00e+00, 2.57e+00
2.90e+01, 6.57e-05, 1.82e-04, 0.00e+00, 2.68e+00
3.00e+01, 5.48e-05, 1.67e-04, 0.00e+00, 2.81e+00
3.10e+01, 4.94e-05, 1.54e-04, 0.00e+00, 2.95e+00
3.20e+01, 4.90e-05, 1.43e-04, 0.00e+00, 3.09e+00
3.30e+01, 4.90e-05, 1.32e-04, 0.00e+00, 3.25e+00
3.40e+01, 4.95e-05, 1.23e-04, 0.00e+00, 3.42e+00
3.50e+01, 4.71e-05, 1.15e-04, 0.00e+00, 3.60e+00
3.60e+01, 4.13e-05, 1.07e-04, 1.00e+00, 3.81e+00
3.70e+01, 3.14e-05, 1.00e-04, 1.00e+00, 4.02e+00
3.80e+01, 1.63e-05, 9.39e-05, 1.00e+00, 4.26e+00
3.90e+01, -7.29e-07, 8.82e-05, 1.00e+00, 4.52e+00
4.00e+01, -1.56e-05, 8.31e-05, 1.00e+00, 4.81e+00
4.10e+01, -2.70e-05, 7.83e-05, 1.00e+00, 5.13e+00
4.20e+01, -2.74e-05, 7.40e-05, 1.00e+00, 5.48e+00
4.30e+01, -1.80e-05, 7.00e-05, 2.00e+00, 5.87e+00
4.40e+01, 1.12e-06, 6.63e-05, 2.00e+00, 6.30e+00
4.50e+01, 2.52e-05, 6.29e-05, 2.00e+00, 6.78e+00
4.60e+01, 4.63e-05, 5.98e-05, 3.00e+00, 7.32e+00
4.70e+01, 5.82e-05, 5.69e-05, 3.00e+00, 7.92e+00
4.80e+01, 5.68e-05, 5.41e-05, 4.00e+00, 8.60e+00
4.90e+01, 4.12e-05, 5.16e-05, 4.00e+00, 9.36e+00
5.00e+01, 1.59e-05, 4.93e-05, 5.00e+00, 1.02e+01
5.10e+01, -1.36e-05, 4.71e-05, 6.00e+00, 1.12e+01
5.20e+01, -3.64e-05, 4.50e-05, 7.00e+00, 1.23e+01
5.30e+01, -4.98e-05, 4.31e-05, 8.00e+00, 1.35e+01
5.40e+01, -5.19e-05, 4.13e-05, 1.00e+01, 1.50e+01
5.50e+01, -4.20e-05, 3.96e-05, 1.10e+01, 1.66e+01
5.60e+01, -2.52e-05, 3.80e-05, 1.30e+01, 1.84e+01
5.70e+01, -5.34e-06, 3.65e-05, 1.50e+01, 2.05e+01
5.80e+01, 1.24e-05, 3.51e-05, 1.80e+01, 2.29e+01
5.90e+01, 2.35e-05, 3.38e-05, 2.00e+01, 2.56e+01
6.00e+01, 2.84e-05, 3.25e-05, 2.40e+01, 2.86e+01
6.10e+01, 2.42e-05, 3.14e-05, 2.70e+01, 3.21e+01
6.20e+01, 1.68e-05, 3.02e-05, 3.10e+01, 3.60e+01
6.30e+01, 7.68e-06, 2.92e-05, 3.60e+01, 4.03e+01
6.40e+01, -2.04e-06, 2.82e-05, 4.10e+01, 4.51e+01
6.50e+01, -8.07e-06, 2.72e-05, 4.70e+01, 5.04e+01
6.60e+01, -1.16e-05, 2.63e-05, 5.30e+01, 5.62e+01
6.70e+01, -1.11e-05, 2.54e-05, 6.00e+01, 6.24e+01
6.80e+01, -8.99e-06, 2.46e-05, 6.70e+01, 6.90e+01
6.90e+01, -5.27e-06, 2.38e-05, 7.40e+01, 7.60e+01
7.00e+01, -1.21e-06, 2.31e-05, 8.20e+01, 8.31e+01
7.10e+01, 1.25e-06, 2.24e-05, 9.00e+01, 9.02e+01
7.20e+01, 4.10e-06, 2.17e-05, 9.70e+01, 9.72e+01
7.30e+01, 4.96e-06, 2.10e-05, 1.04e+02, 1.04e+02
7.40e+01, 4.64e-06, 2.04e-05, 1.10e+02, 1.10e+02
7.50e+01, 3.23e-06, 1.98e-05, 1.16e+02, 1.15e+02
7.60e+01, 1.51e-06, 1.92e-05, 1.20e+02, 1.18e+02
7.70e+01, 2.73e-07, 1.87e-05, 1.22e+02, 1.21e+02
7.80e+01, -1.61e-06, 1.82e-05, 1.23e+02, 1.22e+02
7.90e+01, -1.83e-06, 1.77e-05, 1.23e+02, 1.21e+02
8.00e+01, -1.88e-06, 1.72e-05, 1.21e+02, 1.19e+02
