# 5-gaussian kernel fit
# initial parameters: I=3.00e-04/3.00e-03/3.00e-04/1.00e-04/1.00e-04, sigma=5.00e+00/5.00e+00/5.00e+00/5.00e+00/5.00e+00, center=0.00e+00/5.00e+00/2.00e+01/2.00e+01/2.00e+01
# final parameters  : I=1.28e-04/2.97e-03/1.45e-04/2.18e-04/5.48e-05, sigma=5.05e+00/4.95e+00/2.76e+00/1.31e+01/1.50e+00, center=-7.65e+00/7.20e+00/2.22e+01/8.81e+00/-3.32e+01
# RMSE(death vs kernel*case) = 3.58e+00
# time-pt , kernel  , kfitted , deaths  , dfitted 
0.00e+00, 1.24e-03, 1.25e-03, 0.00e+00, 6.72e-04
1.00e+00, 1.57e-03, 1.57e-03, 0.00e+00, 8.29e-04
2.00e+00, 1.93e-03, 1.92e-03, 0.00e+00, 1.03e-03
3.00e+00, 2.29e-03, 2.29e-03, 0.00e+00, 1.30e-03
4.00e+00, 2.63e-03, 2.63e-03, 0.00e+00, 1.64e-03
5.00e+00, 2.91e-03, 2.91e-03, 0.00e+00, 2.09e-03
6.00e+00, 3.10e-03, 3.10e-03, 0.00e+00, 2.66e-03
7.00e+00, 3.18e-03, 3.19e-03, 0.00e+00, 3.37e-03
8.00e+00, 3.15e-03, 3.15e-03, 0.00e+00, 4.24e-03
9.00e+00, 3.00e-03, 3.00e-03, 0.00e+00, 5.33e-03
1.00e+01, 2.75e-03, 2.75e-03, 0.00e+00, 6.69e-03
1.10e+01, 2.43e-03, 2.43e-03, 0.00e+00, 8.42e-03
1.20e+01, 2.07e-03, 2.07e-03, 0.00e+00, 1.06e-02
1.30e+01, 1.70e-03, 1.70e-03, 0.00e+00, 1.34e-02
1.40e+01, 1.36e-03, 1.36e-03, 0.00e+00, 1.68e-02
1.50e+01, 1.05e-03, 1.06e-03, 0.00e+00, 2.12e-02
1.60e+01, 8.05e-04, 8.09e-04, 0.00e+00, 2.66e-02
1.70e+01, 6.20e-04, 6.20e-04, 0.00e+00, 3.33e-02
1.80e+01, 4.91e-04, 4.88e-04, 0.00e+00, 4.17e-02
1.90e+01, 4.08e-04, 4.06e-04, 0.00e+00, 5.22e-02
2.00e+01, 3.61e-04, 3.60e-04, 0.00e+00, 6.51e-02
2.10e+01, 3.32e-04, 3.33e-04, 0.00e+00, 8.12e-02
2.20e+01, 3.06e-04, 3.09e-04, 0.00e+00, 1.01e-01
2.30e+01, 2.76e-04, 2.79e-04, 0.00e+00, 1.25e-01
2.40e+01, 2.40e-04, 2.39e-04, 0.00e+00, 1.55e-01
2.50e+01, 1.99e-04, 1.94e-04, 0.00e+00, 1.91e-01
2.60e+01, 1.54e-04, 1.51e-04, 0.00e+00, 2.34e-01
2.70e+01, 1.16e-04, 1.17e-04, 0.00e+00, 2.85e-01
2.80e+01, 8.56e-05, 9.11e-05, 0.00e+00, 3.44e-01
2.90e+01, 6.57e-05, 7.37e-05, 0.00e+00, 4.14e-01
3.00e+01, 5.48e-05, 6.16e-05, 0.00e+00, 4.92e-01
3.10e+01, 4.94e-05, 5.28e-05, 0.00e+00, 5.80e-01
3.20e+01, 4.90e-05, 4.57e-05, 0.00e+00, 6.75e-01
3.30e+01, 4.90e-05, 3.96e-05, 0.00e+00, 7.75e-01
3.40e+01, 4.95e-05, 3.43e-05, 0.00e+00, 8.80e-01
3.50e+01, 4.71e-05, 2.95e-05, 0.00e+00, 9.86e-01
3.60e+01, 4.13e-05, 2.52e-05, 1.00e+00, 1.09e+00
3.70e+01, 3.14e-05, 2.15e-05, 1.00e+00, 1.19e+00
3.80e+01, 1.63e-05, 1.82e-05, 1.00e+00, 1.30e+00
3.90e+01, -7.29e-07, 1.53e-05, 1.00e+00, 1.40e+00
4.00e+01, -1.56e-05, 1.28e-05, 1.00e+00, 1.51e+00
4.10e+01, -2.70e-05, 1.06e-05, 1.00e+00, 1.64e+00
4.20e+01, -2.74e-05, 8.78e-06, 1.00e+00, 1.79e+00
4.30e+01, -1.80e-05, 7.22e-06, 2.00e+00, 1.97e+00
4.40e+01, 1.12e-06, 5.90e-06, 2.00e+00, 2.19e+00
4.50e+01, 2.52e-05, 4.79e-06, 2.00e+00, 2.47e+00
4.60e+01, 4.63e-05, 3.87e-06, 3.00e+00, 2.81e+00
4.70e+01, 5.82e-05, 3.10e-06, 3.00e+00, 3.24e+00
4.80e+01, 5.68e-05, 2.48e-06, 4.00e+00, 3.75e+00
4.90e+01, 4.12e-05, 1.97e-06, 4.00e+00, 4.37e+00
5.00e+01, 1.59e-05, 1.55e-06, 5.00e+00, 5.10e+00
5.10e+01, -1.36e-05, 1.22e-06, 6.00e+00, 5.97e+00
5.20e+01, -3.64e-05, 9.49e-07, 7.00e+00, 6.99e+00
5.30e+01, -4.98e-05, 7.36e-07, 8.00e+00, 8.19e+00
5.40e+01, -5.19e-05, 5.67e-07, 1.00e+01, 9.57e+00
5.50e+01, -4.20e-05, 4.34e-07, 1.10e+01, 1.12e+01
5.60e+01, -2.52e-05, 3.31e-07, 1.30e+01, 1.30e+01
5.70e+01, -5.34e-06, 2.51e-07, 1.50e+01, 1.51e+01
5.80e+01, 1.24e-05, 1.89e-07, 1.80e+01, 1.76e+01
5.90e+01, 2.35e-05, 1.41e-07, 2.00e+01, 2.04e+01
6.00e+01, 2.84e-05, 1.05e-07, 2.40e+01, 2.36e+01
6.10e+01, 2.42e-05, 7.78e-08, 2.70e+01, 2.72e+01
6.20e+01, 1.68e-05, 5.72e-08, 3.10e+01, 3.13e+01
6.30e+01, 7.68e-06, 4.19e-08, 3.60e+01, 3.59e+01
6.40e+01, -2.04e-06, 3.04e-08, 4.10e+01, 4.10e+01
6.50e+01, -8.07e-06, 2.20e-08, 4.70e+01, 4.67e+01
6.60e+01, -1.16e-05, 1.58e-08, 5.30e+01, 5.30e+01
6.70e+01, -1.11e-05, 1.13e-08, 6.00e+01, 5.98e+01
6.80e+01, -8.99e-06, 8.03e-09, 6.70e+01, 6.70e+01
6.90e+01, -5.27e-06, 5.67e-09, 7.40e+01, 7.45e+01
7.00e+01, -1.21e-06, 3.98e-09, 8.20e+01, 8.22e+01
7.10e+01, 1.25e-06, 2.78e-09, 9.00e+01, 8.98e+01
7.20e+01, 4.10e-06, 1.93e-09, 9.70e+01, 9.72e+01
7.30e+01, 4.96e-06, 1.33e-09, 1.04e+02, 1.04e+02
7.40e+01, 4.64e-06, 9.13e-10, 1.10e+02, 1.10e+02
7.50e+01, 3.23e-06, 6.23e-10, 1.16e+02, 1.15e+02
7.60e+01, 1.51e-06, 4.22e-10, 1.20e+02, 1.19e+02
7.70e+01, 2.73e-07, 2.85e-10, 1.22e+02, 1.22e+02
7.80e+01, -1.61e-06, 1.91e-10, 1.23e+02, 1.23e+02
7.90e+01, -1.83e-06, 1.27e-10, 1.23e+02, 1.22e+02
8.00e+01, -1.88e-06, 8.42e-11, 1.21e+02, 1.20e+02
8.10e+01, -1.62e-06, 5.54e-11, 1.17e+02, 1.17e+02
8.20e+01, -1.16e-06, 3.63e-11, 1.12e+02, 1.12e+02
8.30e+01, -8.04e-07, 2.36e-11, 1.06e+02, 1.06e+02
8.40e+01, 4.06e-07, 1.53e-11, 9.90e+01, 9.95e+01
8.50e+01, 7.30e-07, 9.83e-12, 9.20e+01, 9.22e+01
8.60e+01, 1.09e-06, 6.29e-12, 8.50e+01, 8.46e+01
8.70e+01, 1.07e-06, 4.00e-12, 7.70e+01, 7.69e+01
8.80e+01, 2.64e-07, 2.53e-12, 6.90e+01, 6.94e+01
8.90e+01, 2.40e-07, 1.59e-12, 6.20e+01, 6.21e+01
9.00e+01, -1.41e-07, 9.93e-13, 5.50e+01, 5.52e+01
9.10e+01, -6.32e-08, 6.17e-13, 4.90e+01, 4.89e+01
9.20e+01, -9.74e-08, 3.81e-13, 4.30e+01, 4.30e+01
9.30e+01, -1.96e-07, 2.34e-13, 3.80e+01, 3.77e+01
9.40e+01, -3.48e-07, 1.43e-13, 3.30e+01, 3.29e+01
9.50e+01, -5.65e-07, 8.67e-14, 2.90e+01, 2.86e+01
9.60e+01, -2.03e-07, 5.23e-14, 2.50e+01, 2.48e+01
9.70e+01, 5.66e-08, 3.14e-14, 2.10e+01, 2.15e+01
9.80e+01, 2.08e-07, 1.87e-14, 1.80e+01, 1.85e+01
9.90e+01, 2.59e-07, 1.11e-14, 1.60e+01, 1.60e+01
