# 4-gaussian kernel fit
# initial parameters: I=3.00e-04/3.00e-03/3.00e-04/1.00e-04, sigma=5.00e+00/5.00e+00/5.00e+00/5.00e+00, center=0.00e+00/5.00e+00/2.00e+01/2.00e+01
# final parameters  : I=1.17e-04/2.99e-03/1.53e-04/2.05e-04, sigma=4.49e+00/4.97e+00/2.84e+00/1.39e+01, center=-7.64e+00/7.20e+00/2.22e+01/7.77e+00
# RMSE(death vs kernel*case) = 2.95e+00
# time-pt , kernel  , kfitted , deaths  , dfitted 
0.00e+00, 1.24e-03, 1.25e-03, 0.00e+00, 2.01e-04
1.00e+00, 1.57e-03, 1.57e-03, 0.00e+00, 2.57e-04
2.00e+00, 1.93e-03, 1.92e-03, 0.00e+00, 3.29e-04
3.00e+00, 2.29e-03, 2.29e-03, 0.00e+00, 4.19e-04
4.00e+00, 2.63e-03, 2.63e-03, 0.00e+00, 5.32e-04
5.00e+00, 2.91e-03, 2.91e-03, 0.00e+00, 6.76e-04
6.00e+00, 3.10e-03, 3.10e-03, 0.00e+00, 8.56e-04
7.00e+00, 3.18e-03, 3.19e-03, 0.00e+00, 1.08e-03
8.00e+00, 3.15e-03, 3.15e-03, 0.00e+00, 1.37e-03
9.00e+00, 3.00e-03, 3.00e-03, 0.00e+00, 1.73e-03
1.00e+01, 2.75e-03, 2.75e-03, 0.00e+00, 2.18e-03
1.10e+01, 2.43e-03, 2.43e-03, 0.00e+00, 2.75e-03
1.20e+01, 2.07e-03, 2.07e-03, 0.00e+00, 3.46e-03
1.30e+01, 1.70e-03, 1.70e-03, 0.00e+00, 4.34e-03
1.40e+01, 1.36e-03, 1.36e-03, 0.00e+00, 5.44e-03
1.50e+01, 1.05e-03, 1.06e-03, 0.00e+00, 6.80e-03
1.60e+01, 8.05e-04, 8.08e-04, 0.00e+00, 8.47e-03
1.70e+01, 6.20e-04, 6.20e-04, 0.00e+00, 1.05e-02
1.80e+01, 4.91e-04, 4.88e-04, 0.00e+00, 1.31e-02
1.90e+01, 4.08e-04, 4.06e-04, 0.00e+00, 1.62e-02
2.00e+01, 3.61e-04, 3.60e-04, 0.00e+00, 1.99e-02
2.10e+01, 3.32e-04, 3.33e-04, 0.00e+00, 2.46e-02
2.20e+01, 3.06e-04, 3.09e-04, 0.00e+00, 3.03e-02
2.30e+01, 2.76e-04, 2.78e-04, 0.00e+00, 3.72e-02
2.40e+01, 2.40e-04, 2.39e-04, 0.00e+00, 4.57e-02
