# Single gaussian kernel fit
# initial parameters: I=3.00e-03, sigma=5.00e+00, center=1.00e+01
# final parameters  : I=3.11e-03, sigma=5.53e+00, center=7.19e+00
# RMSE(death vs kernel*case) = 3.06e+01
# time-pt , kernel  , kfitted , deaths  , dfitted 
0.00e+00, 1.24e-03, 1.33e-03, 0.00e+00, 6.96e-11
1.00e+00, 1.57e-03, 1.66e-03, 0.00e+00, 2.06e-10
2.00e+00, 1.93e-03, 2.00e-03, 0.00e+00, 5.91e-10
3.00e+00, 2.29e-03, 2.33e-03, 0.00e+00, 1.64e-09
4.00e+00, 2.63e-03, 2.63e-03, 0.00e+00, 4.42e-09
5.00e+00, 2.91e-03, 2.87e-03, 0.00e+00, 1.15e-08
6.00e+00, 3.10e-03, 3.04e-03, 0.00e+00, 2.91e-08
7.00e+00, 3.18e-03, 3.11e-03, 0.00e+00, 7.14e-08
8.00e+00, 3.15e-03, 3.07e-03, 0.00e+00, 1.69e-07
9.00e+00, 3.00e-03, 2.95e-03, 0.00e+00, 3.90e-07
1.00e+01, 2.75e-03, 2.73e-03, 0.00e+00, 8.69e-07
1.10e+01, 2.43e-03, 2.45e-03, 0.00e+00, 1.88e-06
1.20e+01, 2.07e-03, 2.13e-03, 0.00e+00, 3.94e-06
1.30e+01, 1.70e-03, 1.79e-03, 0.00e+00, 8.02e-06
1.40e+01, 1.36e-03, 1.46e-03, 0.00e+00, 1.58e-05
1.50e+01, 1.05e-03, 1.15e-03, 0.00e+00, 3.03e-05
1.60e+01, 8.05e-04, 8.73e-04, 0.00e+00, 5.64e-05
1.70e+01, 6.20e-04, 6.44e-04, 0.00e+00, 1.02e-04
1.80e+01, 4.91e-04, 4.60e-04, 0.00e+00, 1.79e-04
1.90e+01, 4.08e-04, 3.17e-04, 0.00e+00, 3.05e-04
2.00e+01, 3.61e-04, 2.12e-04, 0.00e+00, 5.05e-04
2.10e+01, 3.32e-04, 1.37e-04, 0.00e+00, 8.15e-04
2.20e+01, 3.06e-04, 8.60e-05, 0.00e+00, 1.28e-03
2.30e+01, 2.76e-04, 5.21e-05, 0.00e+00, 1.96e-03
2.40e+01, 2.40e-04, 3.06e-05, 0.00e+00, 2.94e-03
2.50e+01, 1.99e-04, 1.74e-05, 0.00e+00, 4.29e-03
2.60e+01, 1.54e-04, 9.53e-06, 0.00e+00, 6.13e-03
2.70e+01, 1.16e-04, 5.07e-06, 0.00e+00, 8.59e-03
2.80e+01, 8.56e-05, 2.61e-06, 0.00e+00, 1.18e-02
2.90e+01, 6.57e-05, 1.30e-06, 0.00e+00, 1.59e-02
3.00e+01, 5.48e-05, 6.26e-07, 0.00e+00, 2.11e-02
3.10e+01, 4.94e-05, 2.92e-07, 0.00e+00, 2.77e-02
3.20e+01, 4.90e-05, 1.32e-07, 0.00e+00, 3.59e-02
3.30e+01, 4.90e-05, 5.77e-08, 0.00e+00, 4.61e-02
3.40e+01, 4.95e-05, 2.44e-08, 0.00e+00, 5.88e-02
3.50e+01, 4.71e-05, 9.98e-09, 0.00e+00, 7.45e-02
3.60e+01, 4.13e-05, 3.95e-09, 1.00e+00, 9.40e-02
3.70e+01, 3.14e-05, 1.52e-09, 1.00e+00, 1.18e-01
3.80e+01, 1.63e-05, 5.62e-10, 1.00e+00, 1.49e-01
3.90e+01, -7.29e-07, 2.02e-10, 1.00e+00, 1.86e-01
4.00e+01, -1.56e-05, 7.02e-11, 1.00e+00, 2.34e-01
4.10e+01, -2.70e-05, 2.36e-11, 1.00e+00, 2.93e-01
4.20e+01, -2.74e-05, 7.69e-12, 1.00e+00, 3.68e-01
4.30e+01, -1.80e-05, 2.42e-12, 2.00e+00, 4.61e-01
4.40e+01, 1.12e-06, 7.39e-13, 2.00e+00, 5.77e-01
4.50e+01, 2.52e-05, 2.18e-13, 2.00e+00, 7.24e-01
4.60e+01, 4.63e-05, 6.23e-14, 3.00e+00, 9.06e-01
4.70e+01, 5.82e-05, 1.72e-14, 3.00e+00, 1.13e+00
4.80e+01, 5.68e-05, 4.60e-15, 4.00e+00, 1.42e+00
4.90e+01, 4.12e-05, 1.19e-15, 4.00e+00, 1.78e+00
5.00e+01, 1.59e-05, 2.99e-16, 5.00e+00, 2.22e+00
5.10e+01, -1.36e-05, 7.25e-17, 6.00e+00, 2.76e+00
5.20e+01, -3.64e-05, 1.70e-17, 7.00e+00, 3.44e+00
5.30e+01, -4.98e-05, 3.86e-18, 8.00e+00, 4.28e+00
5.40e+01, -5.19e-05, 8.50e-19, 1.00e+01, 5.30e+00
5.50e+01, -4.20e-05, 1.81e-19, 1.10e+01, 6.56e+00
5.60e+01, -2.52e-05, 3.72e-20, 1.30e+01, 8.09e+00
5.70e+01, -5.34e-06, 7.42e-21, 1.50e+01, 9.93e+00
5.80e+01, 1.24e-05, 1.43e-21, 1.80e+01, 1.22e+01
5.90e+01, 2.35e-05, 2.67e-22, 2.00e+01, 1.48e+01
6.00e+01, 2.84e-05, 4.83e-23, 2.40e+01, 1.79e+01
6.10e+01, 2.42e-05, 8.45e-24, 2.70e+01, 2.16e+01
6.20e+01, 1.68e-05, 1.43e-24, 3.10e+01, 2.58e+01
6.30e+01, 7.68e-06, 2.34e-25, 3.60e+01, 3.07e+01
6.40e+01, -2.04e-06, 3.71e-26, 4.10e+01, 3.62e+01
6.50e+01, -8.07e-06, 5.70e-27, 4.70e+01, 4.23e+01
6.60e+01, -1.16e-05, 8.46e-28, 5.30e+01, 4.90e+01
6.70e+01, -1.11e-05, 1.22e-28, 6.00e+01, 5.63e+01
6.80e+01, -8.99e-06, 1.69e-29, 6.70e+01, 6.40e+01
6.90e+01, -5.27e-06, 2.28e-30, 7.40e+01, 7.20e+01
7.00e+01, -1.21e-06, 2.96e-31, 8.20e+01, 8.02e+01
7.10e+01, 1.25e-06, 3.74e-32, 9.00e+01, 8.82e+01
7.20e+01, 4.10e-06, 4.56e-33, 9.70e+01, 9.59e+01
7.30e+01, 4.96e-06, 5.39e-34, 1.04e+02, 1.03e+02
7.40e+01, 4.64e-06, 6.16e-35, 1.10e+02, 1.09e+02
7.50e+01, 3.23e-06, 6.81e-36, 1.16e+02, 1.15e+02
7.60e+01, 1.51e-06, 7.29e-37, 1.20e+02, 1.19e+02
7.70e+01, 2.73e-07, 7.56e-38, 1.22e+02, 1.21e+02
7.80e+01, -1.61e-06, 7.58e-39, 1.23e+02, 1.22e+02
7.90e+01, -1.83e-06, 7.36e-40, 1.23e+02, 1.22e+02
8.00e+01, -1.88e-06, 6.91e-41, 1.21e+02, 1.20e+02
8.10e+01, -1.62e-06, 6.28e-42, 1.17e+02, 1.16e+02
8.20e+01, -1.16e-06, 5.53e-43, 1.12e+02, 1.11e+02
8.30e+01, -8.04e-07, 4.71e-44, 1.06e+02, 1.05e+02
8.40e+01, 4.06e-07, 3.88e-45, 9.90e+01, 9.81e+01
8.50e+01, 7.30e-07, 3.10e-46, 9.20e+01, 9.05e+01
8.60e+01, 1.09e-06, 2.39e-47, 8.50e+01, 8.26e+01
8.70e+01, 1.07e-06, 1.79e-48, 7.70e+01, 7.44e+01
8.80e+01, 2.64e-07, 1.29e-49, 6.90e+01, 6.64e+01
8.90e+01, 2.40e-07, 9.03e-51, 6.20e+01, 5.86e+01
9.00e+01, -1.41e-07, 6.12e-52, 5.50e+01, 5.11e+01
9.10e+01, -6.32e-08, 4.01e-53, 4.90e+01, 4.42e+01
9.20e+01, -9.74e-08, 2.54e-54, 4.30e+01, 3.79e+01
9.30e+01, -1.96e-07, 1.56e-55, 3.80e+01, 3.22e+01
9.40e+01, -3.48e-07, 9.29e-57, 3.30e+01, 2.72e+01
9.50e+01, -5.65e-07, 5.34e-58, 2.90e+01, 2.28e+01
9.60e+01, -2.03e-07, 2.97e-59, 2.50e+01, 1.90e+01
9.70e+01, 5.66e-08, 1.60e-60, 2.10e+01, 1.57e+01
9.80e+01, 2.08e-07, 8.35e-62, 1.80e+01, 1.29e+01
9.90e+01, 2.59e-07, 4.21e-63, 1.60e+01, 1.05e+01
1.00e+02, 2.33e-07, 2.06e-64, 1.40e+01, 8.60e+00
1.01e+02, 1.58e-07, 9.72e-66, 1.20e+01, 6.98e+00
1.02e+02, 6.39e-08, 4.45e-67, 1.00e+01, 5.65e+00
1.03e+02, -2.22e-08, 1.97e-68, 9.00e+00, 4.56e+00
1.04e+02, -8.29e-08, 8.44e-70, 7.00e+00, 3.67e+00
1.05e+02, -1.10e-07, 3.50e-71, 6.00e+00, 2.94e+00
1.06e+02, -1.06e-07, 1.40e-72, 5.00e+00, 2.36e+00
1.07e+02, -7.81e-08, 5.45e-74, 5.00e+00, 1.89e+00
1.08e+02, -3.84e-08, 2.05e-75, 4.00e+00, 1.51e+00
1.09e+02, 1.46e-09, 7.46e-77, 3.00e+00, 1.21e+00
1.10e+02, 3.23e-08, 2.63e-78, 3.00e+00, 9.62e-01
1.11e+02, 4.90e-08, 8.95e-80, 2.00e+00, 7.67e-01
1.12e+02, 5.10e-08, 2.95e-81, 2.00e+00, 6.12e-01
1.13e+02, 4.08e-08, 9.43e-83, 2.00e+00, 4.87e-01
1.14e+02, 2.36e-08, 2.91e-84, 1.00e+00, 3.88e-01
1.15e+02, 4.61e-09, 8.71e-86, 1.00e+00, 3.09e-01
1.16e+02, -1.14e-08, 2.52e-87, 1.00e+00, 2.46e-01
1.17e+02, -2.14e-08, 7.06e-89, 1.00e+00, 1.96e-01
1.18e+02, -2.45e-08, 1.91e-90, 1.00e+00, 1.56e-01
1.19e+02, -2.14e-08, 5.02e-92, 1.00e+00, 1.24e-01
1.20e+02, -1.42e-08, 1.27e-93, 1.00e+00, 9.88e-02
1.21e+02, -5.29e-09, 3.13e-95, 0.00e+00, 7.84e-02
1.22e+02, 2.97e-09, 7.44e-97, 0.00e+00, 6.20e-02
1.23e+02, 8.88e-09, 1.71e-98, 0.00e+00, 4.88e-02
