# Triple gaussian kernel fit
# initial parameters: I=3.00e-04/3.00e-03/3.00e-04, sigma=5.00e+00/5.00e+00/5.00e+00, center=0.00e+00/5.00e+00/2.00e+01
# final parameters  : I=2.26e-04/3.16e-03/2.49e-04, sigma=6.66e+00/5.00e+00/4.77e+00, center=-6.01e+00/7.28e+00/2.17e+01
# RMSE(death vs kernel*case) = 4.10e+00
# time-pt , kernel  , kfitted , deaths  , dfitted 
0.00e+00, 1.24e-03, 1.25e-03, 0.00e+00, 7.05e-06
1.00e+00, 1.57e-03, 1.57e-03, 0.00e+00, 1.15e-05
2.00e+00, 1.93e-03, 1.92e-03, 0.00e+00, 1.83e-05
3.00e+00, 2.29e-03, 2.28e-03, 0.00e+00, 2.86e-05
4.00e+00, 2.63e-03, 2.62e-03, 0.00e+00, 4.39e-05
5.00e+00, 2.91e-03, 2.91e-03, 0.00e+00, 6.63e-05
6.00e+00, 3.10e-03, 3.11e-03, 0.00e+00, 9.83e-05
7.00e+00, 3.18e-03, 3.19e-03, 0.00e+00, 1.43e-04
8.00e+00, 3.15e-03, 3.16e-03, 0.00e+00, 2.06e-04
9.00e+00, 3.00e-03, 3.00e-03, 0.00e+00, 2.91e-04
1.00e+01, 2.75e-03, 2.75e-03, 0.00e+00, 4.05e-04
1.10e+01, 2.43e-03, 2.43e-03, 0.00e+00, 5.56e-04
1.20e+01, 2.07e-03, 2.06e-03, 0.00e+00, 7.54e-04
1.30e+01, 1.70e-03, 1.69e-03, 0.00e+00, 1.01e-03
1.40e+01, 1.36e-03, 1.35e-03, 0.00e+00, 1.34e-03
1.50e+01, 1.05e-03, 1.05e-03, 0.00e+00, 1.76e-03
1.60e+01, 8.05e-04, 8.14e-04, 0.00e+00, 2.29e-03
1.70e+01, 6.20e-04, 6.31e-04, 0.00e+00, 2.97e-03
1.80e+01, 4.91e-04, 5.02e-04, 0.00e+00, 3.83e-03
1.90e+01, 4.08e-04, 4.15e-04, 0.00e+00, 4.92e-03
2.00e+01, 3.61e-04, 3.58e-04, 0.00e+00, 6.31e-03
2.10e+01, 3.32e-04, 3.20e-04, 0.00e+00, 8.09e-03
2.20e+01, 3.06e-04, 2.90e-04, 0.00e+00, 1.04e-02
2.30e+01, 2.76e-04, 2.63e-04, 0.00e+00, 1.33e-02
2.40e+01, 2.40e-04, 2.34e-04, 0.00e+00, 1.71e-02
2.50e+01, 1.99e-04, 2.03e-04, 0.00e+00, 2.20e-02
2.60e+01, 1.54e-04, 1.69e-04, 0.00e+00, 2.82e-02
2.70e+01, 1.16e-04, 1.36e-04, 0.00e+00, 3.62e-02
2.80e+01, 8.56e-05, 1.05e-04, 0.00e+00, 4.64e-02
2.90e+01, 6.57e-05, 7.79e-05, 0.00e+00, 5.93e-02
