# Double gaussian kernel fit
# initial parameters: I=3.00e-03/3.00e-04, sigma=5.00e+00/5.00e+00, center=5.00e+00/2.00e+01
# final parameters  : I=3.14e-03/2.38e-04, sigma=5.39e+00/3.43e+00, center=7.13e+00/2.30e+01
# RMSE(death vs kernel*case) = 2.36e+01
# time-pt , kernel  , kfitted , deaths  , dfitted 
0.00e+00, 1.24e-03, 1.31e-03, 0.00e+00, 2.78e-11
1.00e+00, 1.57e-03, 1.64e-03, 0.00e+00, 8.69e-11
2.00e+00, 1.93e-03, 2.00e-03, 0.00e+00, 2.63e-10
3.00e+00, 2.29e-03, 2.34e-03, 0.00e+00, 7.69e-10
4.00e+00, 2.63e-03, 2.65e-03, 0.00e+00, 2.18e-09
5.00e+00, 2.91e-03, 2.90e-03, 0.00e+00, 5.95e-09
6.00e+00, 3.10e-03, 3.07e-03, 0.00e+00, 1.57e-08
7.00e+00, 3.18e-03, 3.14e-03, 0.00e+00, 4.03e-08
8.00e+00, 3.15e-03, 3.10e-03, 0.00e+00, 9.98e-08
9.00e+00, 3.00e-03, 2.96e-03, 0.00e+00, 2.39e-07
1.00e+01, 2.75e-03, 2.72e-03, 0.00e+00, 5.55e-07
1.10e+01, 2.43e-03, 2.43e-03, 0.00e+00, 1.24e-06
1.20e+01, 2.07e-03, 2.09e-03, 0.00e+00, 2.70e-06
1.30e+01, 1.70e-03, 1.74e-03, 0.00e+00, 5.69e-06
1.40e+01, 1.36e-03, 1.40e-03, 0.00e+00, 1.16e-05
1.50e+01, 1.05e-03, 1.10e-03, 0.00e+00, 2.29e-05
1.60e+01, 8.05e-04, 8.39e-04, 0.00e+00, 4.37e-05
1.70e+01, 6.20e-04, 6.37e-04, 0.00e+00, 8.10e-05
1.80e+01, 4.91e-04, 4.92e-04, 0.00e+00, 1.46e-04
1.90e+01, 4.08e-04, 3.97e-04, 0.00e+00, 2.54e-04
2.00e+01, 3.61e-04, 3.43e-04, 0.00e+00, 4.30e-04
2.10e+01, 3.32e-04, 3.15e-04, 0.00e+00, 7.08e-04
2.20e+01, 3.06e-04, 2.97e-04, 0.00e+00, 1.13e-03
2.30e+01, 2.76e-04, 2.78e-04, 0.00e+00, 1.76e-03
2.40e+01, 2.40e-04, 2.51e-04, 0.00e+00, 2.67e-03
2.50e+01, 1.99e-04, 2.13e-04, 0.00e+00, 3.95e-03
2.60e+01, 1.54e-04, 1.69e-04, 0.00e+00, 5.70e-03
2.70e+01, 1.16e-04, 1.24e-04, 0.00e+00, 8.04e-03
2.80e+01, 8.56e-05, 8.37e-05, 0.00e+00, 1.11e-02
2.90e+01, 6.57e-05, 5.22e-05, 0.00e+00, 1.51e-02
3.00e+01, 5.48e-05, 3.00e-05, 0.00e+00, 2.01e-02
3.10e+01, 4.94e-05, 1.58e-05, 0.00e+00, 2.65e-02
3.20e+01, 4.90e-05, 7.67e-06, 0.00e+00, 3.44e-02
3.30e+01, 4.90e-05, 3.42e-06, 0.00e+00, 4.42e-02
3.40e+01, 4.95e-05, 1.40e-06, 0.00e+00, 5.64e-02
3.50e+01, 4.71e-05, 5.28e-07, 0.00e+00, 7.15e-02
3.60e+01, 4.13e-05, 1.83e-07, 1.00e+00, 9.02e-02
3.70e+01, 3.14e-05, 5.82e-08, 1.00e+00, 1.13e-01
3.80e+01, 1.63e-05, 1.70e-08, 1.00e+00, 1.42e-01
3.90e+01, -7.29e-07, 4.58e-09, 1.00e+00, 1.79e-01
